"Step","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MAX"
"0","-6.3333234786987305","-6.3333234786987305","-6.3333234786987305","188.81614685058594","188.81614685058594","188.81614685058594","49.51789093017578","49.51789093017578","49.51789093017578","42.51601028442383","42.51601028442383","42.51601028442383","188.8041534423828","188.8041534423828","188.8041534423828","49.33780288696289","49.33780288696289","49.33780288696289"
"1","-6.339109897613525","-6.339109897613525","-6.339109897613525","188.81626892089844","188.81626892089844","188.81626892089844","49.477970123291016","49.477970123291016","49.477970123291016","42.52484893798828","42.52484893798828","42.52484893798828","188.80368041992188","188.80368041992188","188.80368041992188","49.351837158203125","49.351837158203125","49.351837158203125"
"2","-6.3477959632873535","-6.3477959632873535","-6.3477959632873535","188.81434631347656","188.81434631347656","188.81434631347656","49.484893798828125","49.484893798828125","49.484893798828125","42.516178131103516","42.516178131103516","42.516178131103516","188.80377197265625","188.80377197265625","188.80377197265625","49.32889175415039","49.32889175415039","49.32889175415039"
"3","-6.361501216888428","-6.361501216888428","-6.361501216888428","188.81094360351562","188.81094360351562","188.81094360351562","49.4278678894043","49.4278678894043","49.4278678894043","42.511959075927734","42.511959075927734","42.511959075927734","188.80340576171875","188.80340576171875","188.80340576171875","49.32246017456055","49.32246017456055","49.32246017456055"
"4","-6.372664928436279","-6.372664928436279","-6.372664928436279","188.8078155517578","188.8078155517578","188.8078155517578","49.39750671386719","49.39750671386719","49.39750671386719","42.503883361816406","42.503883361816406","42.503883361816406","188.80593872070312","188.80593872070312","188.80593872070312","49.39372253417969","49.39372253417969","49.39372253417969"
"5","-6.369441509246826","-6.369441509246826","-6.369441509246826","188.80746459960938","188.80746459960938","188.80746459960938","49.37855529785156","49.37855529785156","49.37855529785156","42.50084686279297","42.50084686279297","42.50084686279297","188.8158416748047","188.8158416748047","188.8158416748047","49.481590270996094","49.481590270996094","49.481590270996094"
"6","-6.368136405944824","-6.368136405944824","-6.368136405944824","188.8064422607422","188.8064422607422","188.8064422607422","49.37576675415039","49.37576675415039","49.37576675415039","42.5225715637207","42.5225715637207","42.5225715637207","188.8221435546875","188.8221435546875","188.8221435546875","49.4954719543457","49.4954719543457","49.4954719543457"
"7","-6.367404937744141","-6.367404937744141","-6.367404937744141","188.806884765625","188.806884765625","188.806884765625","49.38254928588867","49.38254928588867","49.38254928588867","42.52946853637695","42.52946853637695","42.52946853637695","188.82374572753906","188.82374572753906","188.82374572753906","49.42921829223633","49.42921829223633","49.42921829223633"
"8","-6.376547336578369","-6.376547336578369","-6.376547336578369","188.80499267578125","188.80499267578125","188.80499267578125","49.33740234375","49.33740234375","49.33740234375","42.51789093017578","42.51789093017578","42.51789093017578","188.8285369873047","188.8285369873047","188.8285369873047","49.49528121948242","49.49528121948242","49.49528121948242"
"9","-6.376895427703857","-6.376895427703857","-6.376895427703857","188.80514526367188","188.80514526367188","188.80514526367188","49.291690826416016","49.291690826416016","49.291690826416016","42.539222717285156","42.539222717285156","42.539222717285156","188.82818603515625","188.82818603515625","188.82818603515625","49.493621826171875","49.493621826171875","49.493621826171875"
