"Step","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean__MAX","CartPole_openai_contrastive_20240424_231510 - rollout/ep_clip_rew_mean","CartPole_openai_contrastive_20240424_231510 - rollout/ep_clip_rew_mean__MIN","CartPole_openai_contrastive_20240424_231510 - rollout/ep_clip_rew_mean__MAX","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_clip_rew_mean","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_clip_rew_mean__MIN","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_clip_rew_mean__MAX","CartPole_openai_cosine_20240424_201844 - rollout/ep_clip_rew_mean","CartPole_openai_cosine_20240424_201844 - rollout/ep_clip_rew_mean__MIN","CartPole_openai_cosine_20240424_201844 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_clip_rew_mean","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_clip_rew_mean","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_clip_rew_mean","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MAX"
"0","-7.481252193450928","-7.481252193450928","-7.481252193450928","-6.3333234786987305","-6.3333234786987305","-6.3333234786987305","188.81614685058594","188.81614685058594","188.81614685058594","49.51789093017578","49.51789093017578","49.51789093017578","187.80770874023438","187.80770874023438","187.80770874023438","63.14887619018555","63.14887619018555","63.14887619018555","36.08548355102539","36.08548355102539","36.08548355102539","189.8560333251953","189.8560333251953","189.8560333251953","85.14268493652344","85.14268493652344","85.14268493652344","38.95503234863281","38.95503234863281","38.95503234863281","85.11066436767578","85.11066436767578","85.11066436767578","42.51601028442383","42.51601028442383","42.51601028442383","36.092079162597656","36.092079162597656","36.092079162597656","189.85789489746094","189.85789489746094","189.85789489746094","187.77713012695312","187.77713012695312","187.77713012695312","62.88904571533203","62.88904571533203","62.88904571533203","188.8041534423828","188.8041534423828","188.8041534423828","49.33780288696289","49.33780288696289","49.33780288696289"
"1","-7.546426773071289","-7.546426773071289","-7.546426773071289","-6.339109897613525","-6.339109897613525","-6.339109897613525","188.81626892089844","188.81626892089844","188.81626892089844","49.477970123291016","49.477970123291016","49.477970123291016","187.80213928222656","187.80213928222656","187.80213928222656","63.161041259765625","63.161041259765625","63.161041259765625","36.097129821777344","36.097129821777344","36.097129821777344","189.8582000732422","189.8582000732422","189.8582000732422","85.061279296875","85.061279296875","85.061279296875","38.91494369506836","38.91494369506836","38.91494369506836","85.162841796875","85.162841796875","85.162841796875","42.52484893798828","42.52484893798828","42.52484893798828","36.10715103149414","36.10715103149414","36.10715103149414","189.86593627929688","189.86593627929688","189.86593627929688","187.76513671875","187.76513671875","187.76513671875","62.90065383911133","62.90065383911133","62.90065383911133","188.80368041992188","188.80368041992188","188.80368041992188","49.351837158203125","49.351837158203125","49.351837158203125"
"2","-7.535111427307129","-7.535111427307129","-7.535111427307129","-6.3477959632873535","-6.3477959632873535","-6.3477959632873535","188.81434631347656","188.81434631347656","188.81434631347656","49.484893798828125","49.484893798828125","49.484893798828125","187.80287170410156","187.80287170410156","187.80287170410156","63.183353424072266","63.183353424072266","63.183353424072266","36.103511810302734","36.103511810302734","36.103511810302734","189.8600616455078","189.8600616455078","189.8600616455078","84.9298324584961","84.9298324584961","84.9298324584961","38.82908630371094","38.82908630371094","38.82908630371094","85.12774658203125","85.12774658203125","85.12774658203125","42.516178131103516","42.516178131103516","42.516178131103516","36.108856201171875","36.108856201171875","36.108856201171875","189.86619567871094","189.86619567871094","189.86619567871094","187.74533081054688","187.74533081054688","187.74533081054688","62.93204116821289","62.93204116821289","62.93204116821289","188.80377197265625","188.80377197265625","188.80377197265625","49.32889175415039","49.32889175415039","49.32889175415039"
"3","-7.612274646759033","-7.612274646759033","-7.612274646759033","-6.361501216888428","-6.361501216888428","-6.361501216888428","188.81094360351562","188.81094360351562","188.81094360351562","49.4278678894043","49.4278678894043","49.4278678894043","187.7810516357422","187.7810516357422","187.7810516357422","63.15739822387695","63.15739822387695","63.15739822387695","36.11524200439453","36.11524200439453","36.11524200439453","189.8575439453125","189.8575439453125","189.8575439453125","84.77252960205078","84.77252960205078","84.77252960205078","38.860877990722656","38.860877990722656","38.860877990722656","85.11495208740234","85.11495208740234","85.11495208740234","42.511959075927734","42.511959075927734","42.511959075927734","36.094505310058594","36.094505310058594","36.094505310058594","189.86424255371094","189.86424255371094","189.86424255371094","187.754150390625","187.754150390625","187.754150390625","62.865997314453125","62.865997314453125","62.865997314453125","188.80340576171875","188.80340576171875","188.80340576171875","49.32246017456055","49.32246017456055","49.32246017456055"
"4","-7.647239685058594","-7.647239685058594","-7.647239685058594","-6.372664928436279","-6.372664928436279","-6.372664928436279","188.8078155517578","188.8078155517578","188.8078155517578","49.39750671386719","49.39750671386719","49.39750671386719","187.77291870117188","187.77291870117188","187.77291870117188","63.1031379699707","63.1031379699707","63.1031379699707","36.1180419921875","36.1180419921875","36.1180419921875","189.85899353027344","189.85899353027344","189.85899353027344","84.67242431640625","84.67242431640625","84.67242431640625","38.80525207519531","38.80525207519531","38.80525207519531","85.1290054321289","85.1290054321289","85.1290054321289","42.503883361816406","42.503883361816406","42.503883361816406","36.11057662963867","36.11057662963867","36.11057662963867","189.86444091796875","189.86444091796875","189.86444091796875","187.7599639892578","187.7599639892578","187.7599639892578","62.96044921875","62.96044921875","62.96044921875","188.80593872070312","188.80593872070312","188.80593872070312","49.39372253417969","49.39372253417969","49.39372253417969"
"5","-7.6451826095581055","-7.6451826095581055","-7.6451826095581055","-6.369441509246826","-6.369441509246826","-6.369441509246826","188.80746459960938","188.80746459960938","188.80746459960938","49.37855529785156","49.37855529785156","49.37855529785156","187.77297973632812","187.77297973632812","187.77297973632812","63.04312515258789","63.04312515258789","63.04312515258789","36.11246109008789","36.11246109008789","36.11246109008789","189.8557891845703","189.8557891845703","189.8557891845703","84.51581573486328","84.51581573486328","84.51581573486328","38.86785125732422","38.86785125732422","38.86785125732422","85.20704650878906","85.20704650878906","85.20704650878906","42.50084686279297","42.50084686279297","42.50084686279297","36.10716247558594","36.10716247558594","36.10716247558594","189.8701629638672","189.8701629638672","189.8701629638672","187.79029846191406","187.79029846191406","187.79029846191406","63.036869049072266","63.036869049072266","63.036869049072266","188.8158416748047","188.8158416748047","188.8158416748047","49.481590270996094","49.481590270996094","49.481590270996094"
"6","-7.679969310760498","-7.679969310760498","-7.679969310760498","-6.368136405944824","-6.368136405944824","-6.368136405944824","188.8064422607422","188.8064422607422","188.8064422607422","49.37576675415039","49.37576675415039","49.37576675415039","187.77037048339844","187.77037048339844","187.77037048339844","62.98122024536133","62.98122024536133","62.98122024536133","36.10502624511719","36.10502624511719","36.10502624511719","189.85336303710938","189.85336303710938","189.85336303710938","84.47400665283203","84.47400665283203","84.47400665283203","38.9274787902832","38.9274787902832","38.9274787902832","85.27623748779297","85.27623748779297","85.27623748779297","42.5225715637207","42.5225715637207","42.5225715637207","36.0994873046875","36.0994873046875","36.0994873046875","189.86215209960938","189.86215209960938","189.86215209960938","187.80221557617188","187.80221557617188","187.80221557617188","63.01205062866211","63.01205062866211","63.01205062866211","188.8221435546875","188.8221435546875","188.8221435546875","49.4954719543457","49.4954719543457","49.4954719543457"
"7","-7.707463264465332","-7.707463264465332","-7.707463264465332","-6.367404937744141","-6.367404937744141","-6.367404937744141","188.806884765625","188.806884765625","188.806884765625","49.38254928588867","49.38254928588867","49.38254928588867","187.7675018310547","187.7675018310547","187.7675018310547","62.97514343261719","62.97514343261719","62.97514343261719","36.10361862182617","36.10361862182617","36.10361862182617","189.85153198242188","189.85153198242188","189.85153198242188","84.3864517211914","84.3864517211914","84.3864517211914","39.00535583496094","39.00535583496094","39.00535583496094","85.36508178710938","85.36508178710938","85.36508178710938","42.52946853637695","42.52946853637695","42.52946853637695","36.10969543457031","36.10969543457031","36.10969543457031","189.86463928222656","189.86463928222656","189.86463928222656","187.8029022216797","187.8029022216797","187.8029022216797","63.03425979614258","63.03425979614258","63.03425979614258","188.82374572753906","188.82374572753906","188.82374572753906","49.42921829223633","49.42921829223633","49.42921829223633"
"8","-7.761814594268799","-7.761814594268799","-7.761814594268799","-6.376547336578369","-6.376547336578369","-6.376547336578369","188.80499267578125","188.80499267578125","188.80499267578125","49.33740234375","49.33740234375","49.33740234375","187.7603302001953","187.7603302001953","187.7603302001953","62.86983108520508","62.86983108520508","62.86983108520508","36.09461212158203","36.09461212158203","36.09461212158203","189.8470916748047","189.8470916748047","189.8470916748047","84.29532623291016","84.29532623291016","84.29532623291016","39.102603912353516","39.102603912353516","39.102603912353516","85.27017211914062","85.27017211914062","85.27017211914062","42.51789093017578","42.51789093017578","42.51789093017578","36.100830078125","36.100830078125","36.100830078125","189.85337829589844","189.85337829589844","189.85337829589844","187.8249969482422","187.8249969482422","187.8249969482422","63.10900115966797","63.10900115966797","63.10900115966797","188.8285369873047","188.8285369873047","188.8285369873047","49.49528121948242","49.49528121948242","49.49528121948242"
"9","-7.7870893478393555","-7.7870893478393555","-7.7870893478393555","-6.376895427703857","-6.376895427703857","-6.376895427703857","188.80514526367188","188.80514526367188","188.80514526367188","49.291690826416016","49.291690826416016","49.291690826416016","187.7547149658203","187.7547149658203","187.7547149658203","62.851661682128906","62.851661682128906","62.851661682128906","36.091529846191406","36.091529846191406","36.091529846191406","189.8439483642578","189.8439483642578","189.8439483642578","84.22781372070312","84.22781372070312","84.22781372070312","38.893310546875","38.893310546875","38.893310546875","85.31364440917969","85.31364440917969","85.31364440917969","42.539222717285156","42.539222717285156","42.539222717285156","36.11804962158203","36.11804962158203","36.11804962158203","189.85626220703125","189.85626220703125","189.85626220703125","187.8522186279297","187.8522186279297","187.8522186279297","63.146751403808594","63.146751403808594","63.146751403808594","188.82818603515625","188.82818603515625","188.82818603515625","49.493621826171875","49.493621826171875","49.493621826171875"
