"Step","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean__MAX","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean__MAX","CartPole_openai_contrastive_20240424_231510 - rollout/ep_gt_rew_mean","CartPole_openai_contrastive_20240424_231510 - rollout/ep_gt_rew_mean__MIN","CartPole_openai_contrastive_20240424_231510 - rollout/ep_gt_rew_mean__MAX","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_gt_rew_mean","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_gt_rew_mean__MIN","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_gt_rew_mean__MAX","CartPole_openai_cosine_20240424_201844 - rollout/ep_gt_rew_mean","CartPole_openai_cosine_20240424_201844 - rollout/ep_gt_rew_mean__MIN","CartPole_openai_cosine_20240424_201844 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_gt_rew_mean","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_gt_rew_mean","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_gt_rew_mean","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean__MAX"
"0","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.24479103088379","31.24479103088379","31.24479103088379","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621"
"1","31.46808433532715","31.46808433532715","31.46808433532715","31.46808433532715","31.46808433532715","31.46808433532715","31.74734115600586","31.74734115600586","31.74734115600586","31.46808433532715","31.46808433532715","31.46808433532715","31.617021560668945","31.617021560668945","31.617021560668945","31.473403930664062","31.473403930664062","31.473403930664062","31.470745086669922","31.470745086669922","31.470745086669922","31.60904312133789","31.60904312133789","31.60904312133789","30.16927146911621","30.16927146911621","30.16927146911621","30.5703125","30.5703125","30.5703125","30.890625","30.890625","30.890625","30.42447853088379","30.42447853088379","30.42447853088379","30.69270896911621","30.69270896911621","30.69270896911621","31.35416603088379","31.35416603088379","31.35416603088379","29.41666603088379","29.41666603088379","29.41666603088379","29.47916603088379","29.47916603088379","29.47916603088379","29.26822853088379","29.26822853088379","29.26822853088379","29.3984375","29.3984375","29.3984375"
"2","31.710105895996094","31.710105895996094","31.710105895996094","31.539894104003906","31.539894104003906","31.539894104003906","31.85904312133789","31.85904312133789","31.85904312133789","31.65691566467285","31.65691566467285","31.65691566467285","31.79787254333496","31.79787254333496","31.79787254333496","31.707447052001953","31.707447052001953","31.707447052001953","31.48670196533203","31.48670196533203","31.48670196533203","31.8005313873291","31.8005313873291","31.8005313873291","29.05989646911621","29.05989646911621","29.05989646911621","30.09635353088379","30.09635353088379","30.09635353088379","30.28645896911621","30.28645896911621","30.28645896911621","30.02864646911621","30.02864646911621","30.02864646911621","30.15625","30.15625","30.15625","31.81510353088379","31.81510353088379","31.81510353088379","29.39583396911621","29.39583396911621","29.39583396911621","29.4609375","29.4609375","29.4609375","29.34114646911621","29.34114646911621","29.34114646911621","29.61197853088379","29.61197853088379","29.61197853088379"
"3","31.273935317993164","31.273935317993164","31.273935317993164","31.17021369934082","31.17021369934082","31.17021369934082","31.3244686126709","31.3244686126709","31.3244686126709","31.207447052001953","31.207447052001953","31.207447052001953","31.239360809326172","31.239360809326172","31.239360809326172","31.257978439331055","31.257978439331055","31.257978439331055","31.087766647338867","31.087766647338867","31.087766647338867","31.3005313873291","31.3005313873291","31.3005313873291","27.74739646911621","27.74739646911621","27.74739646911621","30.26302146911621","30.26302146911621","30.26302146911621","30.8125","30.8125","30.8125","30.65104103088379","30.65104103088379","30.65104103088379","29.98697853088379","29.98697853088379","29.98697853088379","31.9296875","31.9296875","31.9296875","29.76041603088379","29.76041603088379","29.76041603088379","29.53385353088379","29.53385353088379","29.53385353088379","29.18489646911621","29.18489646911621","29.18489646911621","29.68229103088379","29.68229103088379","29.68229103088379"
"4","30.88829803466797","30.88829803466797","30.88829803466797","30.808509826660156","30.808509826660156","30.808509826660156","30.98670196533203","30.98670196533203","30.98670196533203","30.88829803466797","30.88829803466797","30.88829803466797","30.880319595336914","30.880319595336914","30.880319595336914","30.904254913330078","30.904254913330078","30.904254913330078","30.710105895996094","30.710105895996094","30.710105895996094","30.98404312133789","30.98404312133789","30.98404312133789","27.05208396911621","27.05208396911621","27.05208396911621","29.92447853088379","29.92447853088379","29.92447853088379","30.67447853088379","30.67447853088379","30.67447853088379","30.80729103088379","30.80729103088379","30.80729103088379","29.45833396911621","29.45833396911621","29.45833396911621","31.51302146911621","31.51302146911621","31.51302146911621","30.01041603088379","30.01041603088379","30.01041603088379","29.82291603088379","29.82291603088379","29.82291603088379","29.50260353088379","29.50260353088379","29.50260353088379","29.98697853088379","29.98697853088379","29.98697853088379"
"5","30.739360809326172","30.739360809326172","30.739360809326172","30.6994686126709","30.6994686126709","30.6994686126709","30.82712745666504","30.82712745666504","30.82712745666504","30.779254913330078","30.779254913330078","30.779254913330078","30.744680404663086","30.744680404663086","30.744680404663086","30.739360809326172","30.739360809326172","30.739360809326172","30.5744686126709","30.5744686126709","30.5744686126709","30.965425491333008","30.965425491333008","30.965425491333008","25.91927146911621","25.91927146911621","25.91927146911621","29.91927146911621","29.91927146911621","29.91927146911621","31.6015625","31.6015625","31.6015625","31.19010353088379","31.19010353088379","31.19010353088379","29.45833396911621","29.45833396911621","29.45833396911621","31.71354103088379","31.71354103088379","31.71354103088379","30.98958396911621","30.98958396911621","30.98958396911621","30.72395896911621","30.72395896911621","30.72395896911621","30.796875","30.796875","30.796875","31.46875","31.46875","31.46875"
"6","30.630319595336914","30.630319595336914","30.630319595336914","30.595745086669922","30.595745086669922","30.595745086669922","30.694149017333984","30.694149017333984","30.694149017333984","30.6755313873291","30.6755313873291","30.6755313873291","30.59308433532715","30.59308433532715","30.59308433532715","30.553192138671875","30.553192138671875","30.553192138671875","30.473403930664062","30.473403930664062","30.473403930664062","30.853723526000977","30.853723526000977","30.853723526000977","24.91666603088379","24.91666603088379","24.91666603088379","32.49479293823242","32.49479293823242","32.49479293823242","32.64323043823242","32.64323043823242","32.64323043823242","32.9375","32.9375","32.9375","30.01822853088379","30.01822853088379","30.01822853088379","32.1796875","32.1796875","32.1796875","31.53125","31.53125","31.53125","31.21875","31.21875","31.21875","31.75","31.75","31.75","31.92447853088379","31.92447853088379","31.92447853088379"
"7","30.53191566467285","30.53191566467285","30.53191566467285","30.417552947998047","30.417552947998047","30.417552947998047","30.56382942199707","30.56382942199707","30.56382942199707","30.56117057800293","30.56117057800293","30.56117057800293","30.518617630004883","30.518617630004883","30.518617630004883","30.335105895996094","30.335105895996094","30.335105895996094","30.292552947998047","30.292552947998047","30.292552947998047","30.726064682006836","30.726064682006836","30.726064682006836","23.90885353088379","23.90885353088379","23.90885353088379","33.13801956176758","33.13801956176758","33.13801956176758","33.05989456176758","33.05989456176758","33.05989456176758","32.42708206176758","32.42708206176758","32.42708206176758","29.3046875","29.3046875","29.3046875","32.140625","32.140625","32.140625","31.66145896911621","31.66145896911621","31.66145896911621","31.234375","31.234375","31.234375","31.68489646911621","31.68489646911621","31.68489646911621","31.71875","31.71875","31.71875"
"8","30.25265884399414","30.25265884399414","30.25265884399414","30.210105895996094","30.210105895996094","30.210105895996094","30.414894104003906","30.414894104003906","30.414894104003906","30.340425491333008","30.340425491333008","30.340425491333008","30.316490173339844","30.316490173339844","30.316490173339844","30.087766647338867","30.087766647338867","30.087766647338867","30.066490173339844","30.066490173339844","30.066490173339844","30.518617630004883","30.518617630004883","30.518617630004883","22.41666603088379","22.41666603088379","22.41666603088379","34.6171875","34.6171875","34.6171875","32.04948043823242","32.04948043823242","32.04948043823242","32.03385543823242","32.03385543823242","32.03385543823242","28.29947853088379","28.29947853088379","28.29947853088379","31.38541603088379","31.38541603088379","31.38541603088379","32.16926956176758","32.16926956176758","32.16926956176758","31.75260353088379","31.75260353088379","31.75260353088379","32.1640625","32.1640625","32.1640625","32.4765625","32.4765625","32.4765625"
"9","30.132978439331055","30.132978439331055","30.132978439331055","30.039894104003906","30.039894104003906","30.039894104003906","30.183509826660156","30.183509826660156","30.183509826660156","30.135639190673828","30.135639190673828","30.135639190673828","30.135639190673828","30.135639190673828","30.135639190673828","29.909574508666992","29.909574508666992","29.909574508666992","30.066490173339844","30.066490173339844","30.066490173339844","30.3244686126709","30.3244686126709","30.3244686126709","21.67447853088379","21.67447853088379","21.67447853088379","33.47135543823242","33.47135543823242","33.47135543823242","31.8046875","31.8046875","31.8046875","30.79166603088379","30.79166603088379","30.79166603088379","27.6171875","27.6171875","27.6171875","30.87239646911621","30.87239646911621","30.87239646911621","33.25520706176758","33.25520706176758","33.25520706176758","31.87239646911621","31.87239646911621","31.87239646911621","32.3671875","32.3671875","32.3671875","32.09375","32.09375","32.09375"
