"Step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MAX","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MAX"
"0","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800","76800"
"1","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","83200","83200","83200","80000","80000","80000","80000","80000","80000","80000","80000","80000"
"2","83200","83200","83200","83200","83200","83200","83200","83200","83200","83200","83200","83200","89600","89600","89600","83200","83200","83200","83200","83200","83200","83200","83200","83200"
"3","86400","86400","86400","86400","86400","86400","86400","86400","86400","86400","86400","86400","96000","96000","96000","86400","86400","86400","86400","86400","86400","86400","86400","86400"
"4","89600","89600","89600","89600","89600","89600","89600","89600","89600","89600","89600","89600","102400","102400","102400","89600","89600","89600","89600","89600","89600","89600","89600","89600"
"5","92800","92800","92800","92800","92800","92800","92800","92800","92800","92800","92800","92800","108800","108800","108800","92800","92800","92800","92800","92800","92800","92800","92800","92800"
"6","96000","96000","96000","96000","96000","96000","96000","96000","96000","96000","96000","96000","115200","115200","115200","96000","96000","96000","96000","96000","96000","96000","96000","96000"
"7","99200","99200","99200","99200","99200","99200","99200","99200","99200","99200","99200","99200","121600","121600","121600","99200","99200","99200","99200","99200","99200","99200","99200","99200"
"8","102400","102400","102400","102400","102400","102400","102400","102400","102400","102400","102400","102400","128000","128000","128000","102400","102400","102400","102400","102400","102400","102400","102400","102400"
"9","105600","105600","105600","105600","105600","105600","105600","105600","105600","105600","105600","105600","134400","134400","134400","105600","105600","105600","105600","105600","105600","105600","105600","105600"
"10","108800","108800","108800","108800","108800","108800","108800","108800","108800","108800","108800","108800","140800","140800","140800","108800","108800","108800","108800","108800","108800","108800","108800","108800"
