"Step","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean__MAX"
"0","-2.416590929031372","-2.416590929031372","-2.416590929031372","-2.416592597961426","-2.416592597961426","-2.416592597961426","197.037353515625","197.037353515625","197.037353515625","9.67577075958252","9.67577075958252","9.67577075958252","9.650036811828613","9.650036811828613","9.650036811828613","197.02523803710938","197.02523803710938","197.02523803710938","-2.461315870285034","-2.461315870285034","-2.461315870285034","-2.4613142013549805","-2.4613142013549805","-2.4613142013549805","11.962761878967285","11.962761878967285","11.962761878967285","11.940346717834473","11.940346717834473","11.940346717834473","11.358711242675781","11.358711242675781","11.358711242675781","196.25729370117188","196.25729370117188","196.25729370117188","196.260009765625","196.260009765625","196.260009765625"
"1","-2.3966100215911865","-2.3966100215911865","-2.3966100215911865","-2.3966116905212402","-2.3966116905212402","-2.3966116905212402","197.0403289794922","197.0403289794922","197.0403289794922","9.626468658447266","9.626468658447266","9.626468658447266","9.632833480834961","9.632833480834961","9.632833480834961","197.02642822265625","197.02642822265625","197.02642822265625","-2.462566375732422","-2.462566375732422","-2.462566375732422","-2.462564706802368","-2.462564706802368","-2.462564706802368","11.936577796936035","11.936577796936035","11.936577796936035","11.962947845458984","11.962947845458984","11.962947845458984","11.376376152038574","11.376376152038574","11.376376152038574","196.25634765625","196.25634765625","196.25634765625","196.25314331054688","196.25314331054688","196.25314331054688"
"2","-2.3824784755706787","-2.3824784755706787","-2.3824784755706787","-2.3824801445007324","-2.3824801445007324","-2.3824801445007324","197.04483032226562","197.04483032226562","197.04483032226562","9.60489559173584","9.60489559173584","9.60489559173584","9.61207103729248","9.61207103729248","9.61207103729248","197.0248565673828","197.0248565673828","197.0248565673828","-2.462053060531616","-2.462053060531616","-2.462053060531616","-2.4622509479522705","-2.4622509479522705","-2.4622509479522705","11.93722915649414","11.93722915649414","11.93722915649414","11.98012638092041","11.98012638092041","11.98012638092041","11.379989624023438","11.379989624023438","11.379989624023438","196.25460815429688","196.25460815429688","196.25460815429688","196.2616729736328","196.2616729736328","196.2616729736328"
"3","-2.3603830337524414","-2.3603830337524414","-2.3603830337524414","-2.360384941101074","-2.360384941101074","-2.360384941101074","197.04791259765625","197.04791259765625","197.04791259765625","9.558456420898438","9.558456420898438","9.558456420898438","9.616576194763184","9.616576194763184","9.616576194763184","197.024169921875","197.024169921875","197.024169921875","-2.4726619720458984","-2.4726619720458984","-2.4726619720458984","-2.4718165397644043","-2.4718165397644043","-2.4718165397644043","11.891592979431152","11.891592979431152","11.891592979431152","11.996111869812012","11.996111869812012","11.996111869812012","11.388604164123535","11.388604164123535","11.388604164123535","196.2491912841797","196.2491912841797","196.2491912841797","196.26373291015625","196.26373291015625","196.26373291015625"
"4","-2.359588861465454","-2.359588861465454","-2.359588861465454","-2.359590768814087","-2.359590768814087","-2.359590768814087","197.0464324951172","197.0464324951172","197.0464324951172","9.536812782287598","9.536812782287598","9.536812782287598","9.631047248840332","9.631047248840332","9.631047248840332","197.0225372314453","197.0225372314453","197.0225372314453","-2.50138258934021","-2.50138258934021","-2.50138258934021","-2.500253438949585","-2.500253438949585","-2.500253438949585","11.861981391906738","11.861981391906738","11.861981391906738","12.00196361541748","12.00196361541748","12.00196361541748","11.396245002746582","11.396245002746582","11.396245002746582","196.2464599609375","196.2464599609375","196.2464599609375","196.25840759277344","196.25840759277344","196.25840759277344"
"5","-2.3772010803222656","-2.3772010803222656","-2.3772010803222656","-2.3772027492523193","-2.3772027492523193","-2.3772027492523193","197.04388427734375","197.04388427734375","197.04388427734375","9.550041198730469","9.550041198730469","9.550041198730469","9.649237632751465","9.649237632751465","9.649237632751465","197.0218505859375","197.0218505859375","197.0218505859375","-2.5002334117889404","-2.5002334117889404","-2.5002334117889404","-2.4960761070251465","-2.4960761070251465","-2.4960761070251465","11.849985122680664","11.849985122680664","11.849985122680664","12.003569602966309","12.003569602966309","12.003569602966309","11.401537895202637","11.401537895202637","11.401537895202637","196.24559020996094","196.24559020996094","196.24559020996094","196.27484130859375","196.27484130859375","196.27484130859375"
"6","-2.3714191913604736","-2.3714191913604736","-2.3714191913604736","-2.3714208602905273","-2.3714208602905273","-2.3714208602905273","197.055419921875","197.055419921875","197.055419921875","9.502159118652344","9.502159118652344","9.502159118652344","9.648214340209961","9.648214340209961","9.648214340209961","197.02220153808594","197.02220153808594","197.02220153808594","-2.4884192943573","-2.4884192943573","-2.4884192943573","-2.496535062789917","-2.496535062789917","-2.496535062789917","11.817581176757812","11.817581176757812","11.817581176757812","11.997431755065918","11.997431755065918","11.997431755065918","11.400130271911621","11.400130271911621","11.400130271911621","196.2441864013672","196.2441864013672","196.2441864013672","196.2722625732422","196.2722625732422","196.2722625732422"
"7","-2.3718061447143555","-2.3718061447143555","-2.3718061447143555","-2.3719723224639893","-2.3719723224639893","-2.3719723224639893","197.05738830566406","197.05738830566406","197.05738830566406","9.477804183959961","9.477804183959961","9.477804183959961","9.673998832702637","9.673998832702637","9.673998832702637","197.0184326171875","197.0184326171875","197.0184326171875","-2.5089001655578613","-2.5089001655578613","-2.5089001655578613","-2.5135414600372314","-2.5135414600372314","-2.5135414600372314","11.815244674682617","11.815244674682617","11.815244674682617","11.997125625610352","11.997125625610352","11.997125625610352","11.40977668762207","11.40977668762207","11.40977668762207","196.24110412597656","196.24110412597656","196.24110412597656","196.2759246826172","196.2759246826172","196.2759246826172"
"8","-2.3513073921203613","-2.3513073921203613","-2.3513073921203613","-2.3516862392425537","-2.3516862392425537","-2.3516862392425537","197.05648803710938","197.05648803710938","197.05648803710938","9.444029808044434","9.444029808044434","9.444029808044434","9.683554649353027","9.683554649353027","9.683554649353027","197.01490783691406","197.01490783691406","197.01490783691406","-2.514660596847534","-2.514660596847534","-2.514660596847534","-2.515399217605591","-2.515399217605591","-2.515399217605591","11.761712074279785","11.761712074279785","11.761712074279785","12.022374153137207","12.022374153137207","12.022374153137207","11.418158531188965","11.418158531188965","11.418158531188965","196.23765563964844","196.23765563964844","196.23765563964844","196.28067016601562","196.28067016601562","196.28067016601562"
"9","-2.338982105255127","-2.338982105255127","-2.338982105255127","-2.3392138481140137","-2.3392138481140137","-2.3392138481140137","197.05593872070312","197.05593872070312","197.05593872070312","9.43515396118164","9.43515396118164","9.43515396118164","9.717406272888184","9.717406272888184","9.717406272888184","197.0128173828125","197.0128173828125","197.0128173828125","-2.517976999282837","-2.517976999282837","-2.517976999282837","-2.5129287242889404","-2.5129287242889404","-2.5129287242889404","11.731164932250977","11.731164932250977","11.731164932250977","12.059189796447754","12.059189796447754","12.059189796447754","11.423067092895508","11.423067092895508","11.423067092895508","196.2344207763672","196.2344207763672","196.2344207763672","196.28660583496094","196.28660583496094","196.28660583496094"
