"Step","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean__MAX"
"0","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","31.74734115600586","31.74734115600586","31.74734115600586","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","30.9921875","30.9921875","30.9921875"
"1","31.51329803466797","31.51329803466797","31.51329803466797","31.51329803466797","31.51329803466797","31.51329803466797","31.48404312133789","31.48404312133789","31.48404312133789","31.50265884399414","31.50265884399414","31.50265884399414","30.73670196533203","30.73670196533203","30.73670196533203","30.678192138671875","30.678192138671875","30.678192138671875","30.853723526000977","30.853723526000977","30.853723526000977","30.853723526000977","30.853723526000977","30.853723526000977","31.473403930664062","31.473403930664062","31.473403930664062","30.896276473999023","30.896276473999023","30.896276473999023","30.87765884399414","30.87765884399414","30.87765884399414","31.49734115600586","31.49734115600586","31.49734115600586","31.779254913330078","31.779254913330078","31.779254913330078","30.859375","30.859375","30.859375"
"2","31.462766647338867","31.462766647338867","31.462766647338867","31.462766647338867","31.462766647338867","31.462766647338867","31.414894104003906","31.414894104003906","31.414894104003906","31.396276473999023","31.396276473999023","31.396276473999023","30.606382369995117","30.606382369995117","30.606382369995117","30.79521369934082","30.79521369934082","30.79521369934082","30.848403930664062","30.848403930664062","30.848403930664062","30.82712745666504","30.82712745666504","30.82712745666504","31.62765884399414","31.62765884399414","31.62765884399414","31.01329803466797","31.01329803466797","31.01329803466797","31.010639190673828","31.010639190673828","31.010639190673828","31.553192138671875","31.553192138671875","31.553192138671875","31.803192138671875","31.803192138671875","31.803192138671875","31.4921875","31.4921875","31.4921875"
"3","30.989360809326172","30.989360809326172","30.989360809326172","30.989360809326172","30.989360809326172","30.989360809326172","31.098403930664062","31.098403930664062","31.098403930664062","30.98404312133789","30.98404312133789","30.98404312133789","30.569149017333984","30.569149017333984","30.569149017333984","30.930850982666016","30.930850982666016","30.930850982666016","30.710105895996094","30.710105895996094","30.710105895996094","30.680850982666016","30.680850982666016","30.680850982666016","31.228723526000977","31.228723526000977","31.228723526000977","31.143617630004883","31.143617630004883","31.143617630004883","31.228723526000977","31.228723526000977","31.228723526000977","31.117021560668945","31.117021560668945","31.117021560668945","31.26329803466797","31.26329803466797","31.26329803466797","31.50260353088379","31.50260353088379","31.50260353088379"
"4","30.81382942199707","30.81382942199707","30.81382942199707","30.81382942199707","30.81382942199707","30.81382942199707","30.992021560668945","30.992021560668945","30.992021560668945","30.816490173339844","30.816490173339844","30.816490173339844","30.50265884399414","30.50265884399414","30.50265884399414","30.82712745666504","30.82712745666504","30.82712745666504","30.821807861328125","30.821807861328125","30.821807861328125","30.643617630004883","30.643617630004883","30.643617630004883","30.885639190673828","30.885639190673828","30.885639190673828","31.43617057800293","31.43617057800293","31.43617057800293","31.664894104003906","31.664894104003906","31.664894104003906","30.819149017333984","30.819149017333984","30.819149017333984","30.957447052001953","30.957447052001953","30.957447052001953","30.83854103088379","30.83854103088379","30.83854103088379"
"5","30.768617630004883","30.768617630004883","30.768617630004883","30.768617630004883","30.768617630004883","30.768617630004883","30.98670196533203","30.98670196533203","30.98670196533203","30.755319595336914","30.755319595336914","30.755319595336914","30.64095687866211","30.64095687866211","30.64095687866211","30.90691566467285","30.90691566467285","30.90691566467285","31.51595687866211","31.51595687866211","31.51595687866211","31.316490173339844","31.316490173339844","31.316490173339844","30.789894104003906","30.789894104003906","30.789894104003906","31.70212745666504","31.70212745666504","31.70212745666504","31.904254913330078","31.904254913330078","31.904254913330078","30.89095687866211","30.89095687866211","30.89095687866211","30.79787254333496","30.79787254333496","30.79787254333496","31.33072853088379","31.33072853088379","31.33072853088379"
"6","30.476064682006836","30.476064682006836","30.476064682006836","30.476064682006836","30.476064682006836","30.476064682006836","30.742021560668945","30.742021560668945","30.742021560668945","30.433509826660156","30.433509826660156","30.433509826660156","30.776596069335938","30.776596069335938","30.776596069335938","30.8244686126709","30.8244686126709","30.8244686126709","31.51595687866211","31.51595687866211","31.51595687866211","31.409574508666992","31.409574508666992","31.409574508666992","30.667552947998047","30.667552947998047","30.667552947998047","31.8005313873291","31.8005313873291","31.8005313873291","31.957447052001953","31.957447052001953","31.957447052001953","30.707447052001953","30.707447052001953","30.707447052001953","30.67287254333496","30.67287254333496","30.67287254333496","31.3515625","31.3515625","31.3515625"
"7","30.24734115600586","30.24734115600586","30.24734115600586","30.24734115600586","30.24734115600586","30.24734115600586","30.460105895996094","30.460105895996094","30.460105895996094","30.20212745666504","30.20212745666504","30.20212745666504","30.819149017333984","30.819149017333984","30.819149017333984","30.960105895996094","30.960105895996094","30.960105895996094","31.473403930664062","31.473403930664062","31.473403930664062","31.446807861328125","31.446807861328125","31.446807861328125","30.57978630065918","30.57978630065918","30.57978630065918","31.784574508666992","31.784574508666992","31.784574508666992","31.98670196533203","31.98670196533203","31.98670196533203","30.595745086669922","30.595745086669922","30.595745086669922","30.49734115600586","30.49734115600586","30.49734115600586","30.76822853088379","30.76822853088379","30.76822853088379"
"8","30.085105895996094","30.085105895996094","30.085105895996094","30.085105895996094","30.085105895996094","30.085105895996094","30.36170196533203","30.36170196533203","30.36170196533203","30.039894104003906","30.039894104003906","30.039894104003906","30.832447052001953","30.832447052001953","30.832447052001953","31.260639190673828","31.260639190673828","31.260639190673828","31.632978439331055","31.632978439331055","31.632978439331055","31.683509826660156","31.683509826660156","31.683509826660156","30.305850982666016","30.305850982666016","30.305850982666016","32","32","32","32.36436080932617","32.36436080932617","32.36436080932617","30.351064682006836","30.351064682006836","30.351064682006836","30.303192138671875","30.303192138671875","30.303192138671875","30.48177146911621","30.48177146911621","30.48177146911621"
"9","29.9494686126709","29.9494686126709","29.9494686126709","29.9494686126709","29.9494686126709","29.9494686126709","30.162233352661133","30.162233352661133","30.162233352661133","30.007978439331055","30.007978439331055","30.007978439331055","31.36170196533203","31.36170196533203","31.36170196533203","31.066490173339844","31.066490173339844","31.066490173339844","31.85904312133789","31.85904312133789","31.85904312133789","32.09574508666992","32.09574508666992","32.09574508666992","30.125","30.125","30.125","32.566490173339844","32.566490173339844","32.566490173339844","32.071807861328125","32.071807861328125","32.071807861328125","30.15691566467285","30.15691566467285","30.15691566467285","30.117021560668945","30.117021560668945","30.117021560668945","30.09895896911621","30.09895896911621","30.09895896911621"
