"Step","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_clip_rew_mean","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_clip_rew_mean__MIN","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_clip_rew_mean__MAX","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_clip_rew_mean","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_clip_rew_mean__MIN","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_clip_rew_mean__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_clip_rew_mean","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_clip_rew_mean__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_clip_rew_mean__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_clip_rew_mean","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_clip_rew_mean__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_clip_rew_mean__MAX","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_clip_rew_mean","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_clip_rew_mean__MIN","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_clip_rew_mean__MAX","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_clip_rew_mean","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_clip_rew_mean__MIN","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean__MAX","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean__MAX"
"0","-28.179189682006836","-28.179189682006836","-28.179189682006836","-28.163801193237305","-28.163801193237305","-28.163801193237305","177.90252685546875","177.90252685546875","177.90252685546875","177.8968048095703","177.8968048095703","177.8968048095703","42.95265579223633","42.95265579223633","42.95265579223633","42.933040618896484","42.933040618896484","42.933040618896484","11.962761878967285","11.962761878967285","11.962761878967285","11.940346717834473","11.940346717834473","11.940346717834473","11.358711242675781","11.358711242675781","11.358711242675781","11.381110191345215","11.381110191345215","11.381110191345215","196.25729370117188","196.25729370117188","196.25729370117188","-7.481252193450928","-7.481252193450928","-7.481252193450928","187.80770874023438","187.80770874023438","187.80770874023438","63.14887619018555","63.14887619018555","63.14887619018555","196.260009765625","196.260009765625","196.260009765625","38.95503234863281","38.95503234863281","38.95503234863281","187.77713012695312","187.77713012695312","187.77713012695312","62.88904571533203","62.88904571533203","62.88904571533203"
"1","-28.178133010864258","-28.178133010864258","-28.178133010864258","-28.176782608032227","-28.176782608032227","-28.176782608032227","177.89918518066406","177.89918518066406","177.89918518066406","177.89208984375","177.89208984375","177.89208984375","42.943729400634766","42.943729400634766","42.943729400634766","42.92015075683594","42.92015075683594","42.92015075683594","11.936577796936035","11.936577796936035","11.936577796936035","11.962947845458984","11.962947845458984","11.962947845458984","11.376376152038574","11.376376152038574","11.376376152038574","11.367109298706055","11.367109298706055","11.367109298706055","196.25634765625","196.25634765625","196.25634765625","-7.546426773071289","-7.546426773071289","-7.546426773071289","187.80213928222656","187.80213928222656","187.80213928222656","63.161041259765625","63.161041259765625","63.161041259765625","196.25314331054688","196.25314331054688","196.25314331054688","38.91494369506836","38.91494369506836","38.91494369506836","187.76513671875","187.76513671875","187.76513671875","62.90065383911133","62.90065383911133","62.90065383911133"
"2","-28.17119026184082","-28.17119026184082","-28.17119026184082","-28.182178497314453","-28.182178497314453","-28.182178497314453","177.90016174316406","177.90016174316406","177.90016174316406","177.89614868164062","177.89614868164062","177.89614868164062","42.94965362548828","42.94965362548828","42.94965362548828","42.924678802490234","42.924678802490234","42.924678802490234","11.93722915649414","11.93722915649414","11.93722915649414","11.98012638092041","11.98012638092041","11.98012638092041","11.379989624023438","11.379989624023438","11.379989624023438","11.359705924987793","11.359705924987793","11.359705924987793","196.25460815429688","196.25460815429688","196.25460815429688","-7.535111427307129","-7.535111427307129","-7.535111427307129","187.80287170410156","187.80287170410156","187.80287170410156","63.183353424072266","63.183353424072266","63.183353424072266","196.2616729736328","196.2616729736328","196.2616729736328","38.82908630371094","38.82908630371094","38.82908630371094","187.74533081054688","187.74533081054688","187.74533081054688","62.93204116821289","62.93204116821289","62.93204116821289"
"3","-28.17658233642578","-28.17658233642578","-28.17658233642578","-28.188356399536133","-28.188356399536133","-28.188356399536133","177.90390014648438","177.90390014648438","177.90390014648438","177.8967742919922","177.8967742919922","177.8967742919922","42.919776916503906","42.919776916503906","42.919776916503906","42.94900894165039","42.94900894165039","42.94900894165039","11.891592979431152","11.891592979431152","11.891592979431152","11.996111869812012","11.996111869812012","11.996111869812012","11.388604164123535","11.388604164123535","11.388604164123535","11.327926635742188","11.327926635742188","11.327926635742188","196.2491912841797","196.2491912841797","196.2491912841797","-7.612274646759033","-7.612274646759033","-7.612274646759033","187.7810516357422","187.7810516357422","187.7810516357422","63.15739822387695","63.15739822387695","63.15739822387695","196.26373291015625","196.26373291015625","196.26373291015625","38.860877990722656","38.860877990722656","38.860877990722656","187.754150390625","187.754150390625","187.754150390625","62.865997314453125","62.865997314453125","62.865997314453125"
"4","-28.200267791748047","-28.200267791748047","-28.200267791748047","-28.18102264404297","-28.18102264404297","-28.18102264404297","177.9023895263672","177.9023895263672","177.9023895263672","177.89627075195312","177.89627075195312","177.89627075195312","42.902400970458984","42.902400970458984","42.902400970458984","42.95028305053711","42.95028305053711","42.95028305053711","11.861981391906738","11.861981391906738","11.861981391906738","12.00196361541748","12.00196361541748","12.00196361541748","11.396245002746582","11.396245002746582","11.396245002746582","11.311909675598145","11.311909675598145","11.311909675598145","196.2464599609375","196.2464599609375","196.2464599609375","-7.647239685058594","-7.647239685058594","-7.647239685058594","187.77291870117188","187.77291870117188","187.77291870117188","63.1031379699707","63.1031379699707","63.1031379699707","196.25840759277344","196.25840759277344","196.25840759277344","38.80525207519531","38.80525207519531","38.80525207519531","187.7599639892578","187.7599639892578","187.7599639892578","62.96044921875","62.96044921875","62.96044921875"
"5","-28.161535263061523","-28.161535263061523","-28.161535263061523","-28.17506980895996","-28.17506980895996","-28.17506980895996","177.908447265625","177.908447265625","177.908447265625","177.89944458007812","177.89944458007812","177.89944458007812","42.890357971191406","42.890357971191406","42.890357971191406","42.9617919921875","42.9617919921875","42.9617919921875","11.849985122680664","11.849985122680664","11.849985122680664","12.003569602966309","12.003569602966309","12.003569602966309","11.401537895202637","11.401537895202637","11.401537895202637","11.320483207702637","11.320483207702637","11.320483207702637","196.24559020996094","196.24559020996094","196.24559020996094","-7.6451826095581055","-7.6451826095581055","-7.6451826095581055","187.77297973632812","187.77297973632812","187.77297973632812","63.04312515258789","63.04312515258789","63.04312515258789","196.27484130859375","196.27484130859375","196.27484130859375","38.86785125732422","38.86785125732422","38.86785125732422","187.79029846191406","187.79029846191406","187.79029846191406","63.036869049072266","63.036869049072266","63.036869049072266"
"6","-28.164762496948242","-28.164762496948242","-28.164762496948242","-28.1646728515625","-28.1646728515625","-28.1646728515625","177.9036102294922","177.9036102294922","177.9036102294922","177.89781188964844","177.89781188964844","177.89781188964844","42.87882614135742","42.87882614135742","42.87882614135742","42.977169036865234","42.977169036865234","42.977169036865234","11.817581176757812","11.817581176757812","11.817581176757812","11.997431755065918","11.997431755065918","11.997431755065918","11.400130271911621","11.400130271911621","11.400130271911621","11.307340621948242","11.307340621948242","11.307340621948242","196.2441864013672","196.2441864013672","196.2441864013672","-7.679969310760498","-7.679969310760498","-7.679969310760498","187.77037048339844","187.77037048339844","187.77037048339844","62.98122024536133","62.98122024536133","62.98122024536133","196.2722625732422","196.2722625732422","196.2722625732422","38.9274787902832","38.9274787902832","38.9274787902832","187.80221557617188","187.80221557617188","187.80221557617188","63.01205062866211","63.01205062866211","63.01205062866211"
"7","-28.170072555541992","-28.170072555541992","-28.170072555541992","-28.171207427978516","-28.171207427978516","-28.171207427978516","177.89878845214844","177.89878845214844","177.89878845214844","177.903076171875","177.903076171875","177.903076171875","42.87203598022461","42.87203598022461","42.87203598022461","42.98255157470703","42.98255157470703","42.98255157470703","11.815244674682617","11.815244674682617","11.815244674682617","11.997125625610352","11.997125625610352","11.997125625610352","11.40977668762207","11.40977668762207","11.40977668762207","11.28908634185791","11.28908634185791","11.28908634185791","196.24110412597656","196.24110412597656","196.24110412597656","-7.707463264465332","-7.707463264465332","-7.707463264465332","187.7675018310547","187.7675018310547","187.7675018310547","62.97514343261719","62.97514343261719","62.97514343261719","196.2759246826172","196.2759246826172","196.2759246826172","39.00535583496094","39.00535583496094","39.00535583496094","187.8029022216797","187.8029022216797","187.8029022216797","63.03425979614258","63.03425979614258","63.03425979614258"
"8","-28.172611236572266","-28.172611236572266","-28.172611236572266","-28.15311622619629","-28.15311622619629","-28.15311622619629","177.90672302246094","177.90672302246094","177.90672302246094","177.90249633789062","177.90249633789062","177.90249633789062","42.855064392089844","42.855064392089844","42.855064392089844","42.981624603271484","42.981624603271484","42.981624603271484","11.761712074279785","11.761712074279785","11.761712074279785","12.022374153137207","12.022374153137207","12.022374153137207","11.418158531188965","11.418158531188965","11.418158531188965","11.25830364227295","11.25830364227295","11.25830364227295","196.23765563964844","196.23765563964844","196.23765563964844","-7.761814594268799","-7.761814594268799","-7.761814594268799","187.7603302001953","187.7603302001953","187.7603302001953","62.86983108520508","62.86983108520508","62.86983108520508","196.28067016601562","196.28067016601562","196.28067016601562","39.102603912353516","39.102603912353516","39.102603912353516","187.8249969482422","187.8249969482422","187.8249969482422","63.10900115966797","63.10900115966797","63.10900115966797"
"9","-28.16631507873535","-28.16631507873535","-28.16631507873535","-28.15574073791504","-28.15574073791504","-28.15574073791504","177.91229248046875","177.91229248046875","177.91229248046875","177.9025421142578","177.9025421142578","177.9025421142578","42.84867477416992","42.84867477416992","42.84867477416992","42.97941970825195","42.97941970825195","42.97941970825195","11.731164932250977","11.731164932250977","11.731164932250977","12.059189796447754","12.059189796447754","12.059189796447754","11.423067092895508","11.423067092895508","11.423067092895508","11.241339683532715","11.241339683532715","11.241339683532715","196.2344207763672","196.2344207763672","196.2344207763672","-7.7870893478393555","-7.7870893478393555","-7.7870893478393555","187.7547149658203","187.7547149658203","187.7547149658203","62.851661682128906","62.851661682128906","62.851661682128906","196.28660583496094","196.28660583496094","196.28660583496094","38.893310546875","38.893310546875","38.893310546875","187.8522186279297","187.8522186279297","187.8522186279297","63.146751403808594","63.146751403808594","63.146751403808594"
