"Step","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_gt_rew_mean","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_gt_rew_mean","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_gt_rew_mean","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_gt_rew_mean","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_gt_rew_mean","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_gt_rew_mean","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean__MAX"
"0","30.962766647338867","30.962766647338867","30.962766647338867","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","30.962766647338867","30.962766647338867","30.962766647338867","31.74734115600586","31.74734115600586","31.74734115600586","30.962766647338867","30.962766647338867","30.962766647338867","31.74734115600586","31.74734115600586","31.74734115600586","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","30.962766647338867","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","30.9921875","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621"
"1","30.779254913330078","30.779254913330078","30.779254913330078","31.470745086669922","31.470745086669922","31.470745086669922","31.63829803466797","31.63829803466797","31.63829803466797","30.742021560668945","30.742021560668945","30.742021560668945","31.441490173339844","31.441490173339844","31.441490173339844","30.678192138671875","30.678192138671875","30.678192138671875","31.473403930664062","31.473403930664062","31.473403930664062","30.896276473999023","30.896276473999023","30.896276473999023","30.87765884399414","30.87765884399414","30.87765884399414","31.49734115600586","31.49734115600586","31.49734115600586","31.779254913330078","31.779254913330078","31.779254913330078","31.46808433532715","31.46808433532715","31.46808433532715","31.617021560668945","31.617021560668945","31.617021560668945","31.473403930664062","31.473403930664062","31.473403930664062","30.859375","30.859375","30.859375","30.5703125","30.5703125","30.5703125","29.41666603088379","29.41666603088379","29.41666603088379","29.47916603088379","29.47916603088379","29.47916603088379"
"2","30.723403930664062","30.723403930664062","30.723403930664062","31.494680404663086","31.494680404663086","31.494680404663086","31.776596069335938","31.776596069335938","31.776596069335938","30.867021560668945","30.867021560668945","30.867021560668945","31.614360809326172","31.614360809326172","31.614360809326172","30.755319595336914","30.755319595336914","30.755319595336914","31.62765884399414","31.62765884399414","31.62765884399414","31.01329803466797","31.01329803466797","31.01329803466797","31.010639190673828","31.010639190673828","31.010639190673828","31.553192138671875","31.553192138671875","31.553192138671875","31.803192138671875","31.803192138671875","31.803192138671875","31.710105895996094","31.710105895996094","31.710105895996094","31.79787254333496","31.79787254333496","31.79787254333496","31.707447052001953","31.707447052001953","31.707447052001953","31.4921875","31.4921875","31.4921875","30.09635353088379","30.09635353088379","30.09635353088379","29.39583396911621","29.39583396911621","29.39583396911621","29.4609375","29.4609375","29.4609375"
"3","31.00265884399414","31.00265884399414","31.00265884399414","31.029254913330078","31.029254913330078","31.029254913330078","31.244680404663086","31.244680404663086","31.244680404663086","31.021276473999023","31.021276473999023","31.021276473999023","31.14095687866211","31.14095687866211","31.14095687866211","31.132978439331055","31.132978439331055","31.132978439331055","31.228723526000977","31.228723526000977","31.228723526000977","31.143617630004883","31.143617630004883","31.143617630004883","31.228723526000977","31.228723526000977","31.228723526000977","31.117021560668945","31.117021560668945","31.117021560668945","31.26329803466797","31.26329803466797","31.26329803466797","31.273935317993164","31.273935317993164","31.273935317993164","31.239360809326172","31.239360809326172","31.239360809326172","31.257978439331055","31.257978439331055","31.257978439331055","31.50260353088379","31.50260353088379","31.50260353088379","30.26302146911621","30.26302146911621","30.26302146911621","29.76041603088379","29.76041603088379","29.76041603088379","29.53385353088379","29.53385353088379","29.53385353088379"
"4","31.183509826660156","31.183509826660156","31.183509826660156","30.75265884399414","30.75265884399414","30.75265884399414","30.960105895996094","30.960105895996094","30.960105895996094","31.13829803466797","31.13829803466797","31.13829803466797","30.779254913330078","30.779254913330078","30.779254913330078","31.505319595336914","31.505319595336914","31.505319595336914","30.885639190673828","30.885639190673828","30.885639190673828","31.43617057800293","31.43617057800293","31.43617057800293","31.664894104003906","31.664894104003906","31.664894104003906","30.819149017333984","30.819149017333984","30.819149017333984","30.957447052001953","30.957447052001953","30.957447052001953","30.88829803466797","30.88829803466797","30.88829803466797","30.880319595336914","30.880319595336914","30.880319595336914","30.904254913330078","30.904254913330078","30.904254913330078","30.83854103088379","30.83854103088379","30.83854103088379","29.92447853088379","29.92447853088379","29.92447853088379","30.01041603088379","30.01041603088379","30.01041603088379","29.82291603088379","29.82291603088379","29.82291603088379"
"5","31.337766647338867","31.337766647338867","31.337766647338867","30.585105895996094","30.585105895996094","30.585105895996094","30.816490173339844","30.816490173339844","30.816490173339844","31.385639190673828","31.385639190673828","31.385639190673828","30.635639190673828","30.635639190673828","30.635639190673828","31.739360809326172","31.739360809326172","31.739360809326172","30.789894104003906","30.789894104003906","30.789894104003906","31.70212745666504","31.70212745666504","31.70212745666504","31.904254913330078","31.904254913330078","31.904254913330078","30.89095687866211","30.89095687866211","30.89095687866211","30.79787254333496","30.79787254333496","30.79787254333496","30.739360809326172","30.739360809326172","30.739360809326172","30.744680404663086","30.744680404663086","30.744680404663086","30.739360809326172","30.739360809326172","30.739360809326172","31.33072853088379","31.33072853088379","31.33072853088379","29.91927146911621","29.91927146911621","29.91927146911621","30.98958396911621","30.98958396911621","30.98958396911621","30.72395896911621","30.72395896911621","30.72395896911621"
"6","31.367021560668945","31.367021560668945","31.367021560668945","30.460105895996094","30.460105895996094","30.460105895996094","30.755319595336914","30.755319595336914","30.755319595336914","31.351064682006836","31.351064682006836","31.351064682006836","30.4255313873291","30.4255313873291","30.4255313873291","31.909574508666992","31.909574508666992","31.909574508666992","30.667552947998047","30.667552947998047","30.667552947998047","31.8005313873291","31.8005313873291","31.8005313873291","31.957447052001953","31.957447052001953","31.957447052001953","30.707447052001953","30.707447052001953","30.707447052001953","30.67287254333496","30.67287254333496","30.67287254333496","30.630319595336914","30.630319595336914","30.630319595336914","30.59308433532715","30.59308433532715","30.59308433532715","30.553192138671875","30.553192138671875","30.553192138671875","31.3515625","31.3515625","31.3515625","32.49479293823242","32.49479293823242","32.49479293823242","31.53125","31.53125","31.53125","31.21875","31.21875","31.21875"
"7","31.228723526000977","31.228723526000977","31.228723526000977","30.24734115600586","30.24734115600586","30.24734115600586","30.60904312133789","30.60904312133789","30.60904312133789","31.316490173339844","31.316490173339844","31.316490173339844","30.24734115600586","30.24734115600586","30.24734115600586","32.14361572265625","32.14361572265625","32.14361572265625","30.57978630065918","30.57978630065918","30.57978630065918","31.784574508666992","31.784574508666992","31.784574508666992","31.98670196533203","31.98670196533203","31.98670196533203","30.595745086669922","30.595745086669922","30.595745086669922","30.49734115600586","30.49734115600586","30.49734115600586","30.53191566467285","30.53191566467285","30.53191566467285","30.518617630004883","30.518617630004883","30.518617630004883","30.335105895996094","30.335105895996094","30.335105895996094","30.76822853088379","30.76822853088379","30.76822853088379","33.13801956176758","33.13801956176758","33.13801956176758","31.66145896911621","31.66145896911621","31.66145896911621","31.234375","31.234375","31.234375"
"8","31.276596069335938","31.276596069335938","31.276596069335938","29.994680404663086","29.994680404663086","29.994680404663086","30.396276473999023","30.396276473999023","30.396276473999023","31.507978439331055","31.507978439331055","31.507978439331055","30.01329803466797","30.01329803466797","30.01329803466797","32.15425491333008","32.15425491333008","32.15425491333008","30.305850982666016","30.305850982666016","30.305850982666016","32","32","32","32.36436080932617","32.36436080932617","32.36436080932617","30.351064682006836","30.351064682006836","30.351064682006836","30.303192138671875","30.303192138671875","30.303192138671875","30.25265884399414","30.25265884399414","30.25265884399414","30.316490173339844","30.316490173339844","30.316490173339844","30.087766647338867","30.087766647338867","30.087766647338867","30.48177146911621","30.48177146911621","30.48177146911621","34.6171875","34.6171875","34.6171875","32.16926956176758","32.16926956176758","32.16926956176758","31.75260353088379","31.75260353088379","31.75260353088379"
"9","31.755319595336914","31.755319595336914","31.755319595336914","29.82712745666504","29.82712745666504","29.82712745666504","30.17287254333496","30.17287254333496","30.17287254333496","31.1755313873291","31.1755313873291","31.1755313873291","29.928192138671875","29.928192138671875","29.928192138671875","31.965425491333008","31.965425491333008","31.965425491333008","30.125","30.125","30.125","32.566490173339844","32.566490173339844","32.566490173339844","32.071807861328125","32.071807861328125","32.071807861328125","30.15691566467285","30.15691566467285","30.15691566467285","30.117021560668945","30.117021560668945","30.117021560668945","30.132978439331055","30.132978439331055","30.132978439331055","30.135639190673828","30.135639190673828","30.135639190673828","29.909574508666992","29.909574508666992","29.909574508666992","30.09895896911621","30.09895896911621","30.09895896911621","33.47135543823242","33.47135543823242","33.47135543823242","33.25520706176758","33.25520706176758","33.25520706176758","31.87239646911621","31.87239646911621","31.87239646911621"
